Feature_Name,Feature_Type
N,Original
P,Original
K,Original
temperature,Original
humidity,Original
ph,Original
rainfall,Original
N_to_P_ratio,Engineered
N_to_K_ratio,Engineered
P_to_K_ratio,Engineered
NPK_sum,Engineered
NPK_product,Engineered
N_dominance,Engineered
P_dominance,Engineered
K_dominance,Engineered
temp_humidity_interaction,Engineered
climate_index,Engineered
heat_stress_index,Engineered
ph_squared,Engineered
ph_deviation,Engineered
N_ph_interaction,Engineered
P_ph_interaction,Engineered
K_ph_interaction,Engineered
water_stress_index,Engineered
moisture_index,Engineered
rainfall_per_temp,Engineered
water_availability,Engineered
growing_condition_index,Engineered
resource_availability,Engineered
environmental_stress,Engineered
nutrient_balance,Engineered
temp_category_Hot,Engineered
temp_category_Moderate,Engineered
humidity_category_Low,Engineered
humidity_category_Medium,Engineered
ph_category_Alkaline,Engineered
ph_category_Neutral,Engineered
rainfall_category_Low,Engineered
rainfall_category_Medium,Engineered
