,precision,recall,f1-score,support
apple,1.0,1.0,1.0,20.0
banana,1.0,1.0,1.0,20.0
blackgram,0.9091,1.0,0.9524,20.0
chickpea,1.0,1.0,1.0,20.0
coconut,1.0,1.0,1.0,20.0
coffee,1.0,1.0,1.0,20.0
cotton,0.9091,1.0,0.9524,20.0
grapes,1.0,1.0,1.0,20.0
jute,0.9048,0.95,0.9268,20.0
kidneybeans,1.0,1.0,1.0,20.0
lentil,1.0,0.85,0.9189,20.0
maize,1.0,0.9,0.9474,20.0
mango,1.0,1.0,1.0,20.0
mothbeans,0.9091,1.0,0.9524,20.0
mungbean,1.0,1.0,1.0,20.0
muskmelon,1.0,1.0,1.0,20.0
orange,1.0,1.0,1.0,20.0
papaya,1.0,1.0,1.0,20.0
pigeonpeas,1.0,0.95,0.9744,20.0
pomegranate,1.0,1.0,1.0,20.0
rice,0.9474,0.9,0.9231,20.0
watermelon,1.0,1.0,1.0,20.0
accuracy,0.9795,0.9795,0.9795,0.9795
macro avg,0.9809,0.9795,0.9794,440.0
weighted avg,0.9809,0.9795,0.9794,440.0
