crop,commodity,commodity_group,msp_2023,price_2023,arrival_2023,season,msp_2024,price_2024,arrival_2024,data_source,price_change,price_change_pct,volatility,risk_category,risk_score
blackgram,Black Gram(Urd Beans)(Whole),Pulses,6950.0,7761.89,505421.42,Rabi,7400.0,7504.97,422903.62,agmarknet,-256.9200000000001,-3.3100185650659837,3.3100185650659837,Low,10.368855458819393
chickpea,Bengal Gram(Gram)(Whole),Pulses,5335.0,5380.16,1945485.03,Rabi,5440.0,6163.59,1774081.23,agmarknet,783.4300000000003,14.561462856123244,14.561462856123244,Medium,45.614760357424004
coconut,Copra,Oil Seeds,10590.0,8212.62,79696.45,Rabi,10590.0,10834.31,129904.7,agmarknet,2621.6899999999987,31.922699455228642,31.922699455228642,High,100.0
cotton,Cotton,Fibre Crops,6620.0,6885.07,3256277.34,Kharif,7121.0,7178.04,3658944.33,agmarknet,292.97000000000025,4.255149185120852,4.255149185120852,Low,13.32954060194273
jute,Jute,Fibre Crops,4750.0,5074.28,80416.67,Rabi,4750.0,5290.69,97244.3,agmarknet,216.40999999999985,4.264841514461162,4.264841514461162,Low,13.359902474546589
lentil,Lentil(Masur)(Whole),Pulses,6000.0,5857.54,819707.02,Rabi,6425.0,6147.02,558895.78,agmarknet,289.4800000000005,4.942006371275322,4.942006371275322,Low,15.481166867502703
maize,Maize,Cereals,2090.0,2081.44,7105818.29,Kharif,2225.0,2171.08,9766711.45,agmarknet,89.63999999999987,4.306633868860014,4.306633868860014,Low,13.490819831512171
mungbean,Green Gram(Moong)(Whole),Pulses,8558.0,7772.31,618766.1,Rabi,8682.0,7405.15,734627.74,agmarknet,-367.16000000000076,-4.723949507932658,4.723949507932658,Low,14.798089098191596
pigeonpeas,Arhar(Tur/Red Gram)(Whole),Pulses,7000.0,9885.24,884112.74,Kharif,7550.0,7561.08,611360.65,agmarknet,-2324.16,-23.511417021741504,23.511417021741504,Medium,73.65109286799539
rice,Paddy(Common),Cereals,2183.0,2323.9,33282705.45,Kharif,2300.0,2381.22,26354758.67,agmarknet,57.31999999999971,2.4665433108137056,2.4665433108137056,Low,7.726612576336206
wheat,Wheat,Cereals,2125.0,2262.35,26945606.66,Rabi,2275.0,2461.92,27267907.55,agmarknet,199.57000000000016,8.82135832209871,8.82135832209871,Low,27.63349739413674
kidneybeans,Kidney Beans (Rajma),Pulses,0.0,8500.0,0.0,Rabi,0.0,9200.0,0.0,estimated,700.0,8.235294117647058,8.235294117647058,Low,25.797611913105907
mothbeans,Moth Beans,Pulses,0.0,7000.0,0.0,Kharif,0.0,7500.0,0.0,estimated,500.0,7.142857142857142,7.142857142857142,Low,22.37547972055104
pomegranate,Pomegranate,Fruits,0.0,8000.0,0.0,Perennial,0.0,9500.0,0.0,estimated,1500.0,18.75,18.75,Medium,58.73563426644649
banana,Banana,Fruits,0.0,2000.0,0.0,Perennial,0.0,2300.0,0.0,estimated,300.0,15.0,15.0,Medium,46.98850741315719
mango,Mango,Fruits,0.0,4500.0,0.0,Perennial,0.0,5200.0,0.0,estimated,700.0,15.555555555555555,15.555555555555555,Medium,48.72882250253338
grapes,Grapes,Fruits,0.0,6000.0,0.0,Perennial,0.0,6800.0,0.0,estimated,800.0,13.333333333333334,13.333333333333334,Medium,41.76756214502861
watermelon,Watermelon,Fruits,0.0,1000.0,0.0,Zaid,0.0,1200.0,0.0,estimated,200.0,20.0,20.0,Medium,62.65134321754292
muskmelon,Muskmelon,Fruits,0.0,1500.0,0.0,Zaid,0.0,1800.0,0.0,estimated,300.0,20.0,20.0,Medium,62.65134321754292
apple,Apple,Fruits,0.0,8000.0,0.0,Perennial,0.0,9000.0,0.0,estimated,1000.0,12.5,12.5,Medium,39.15708951096432
orange,Orange,Fruits,0.0,3500.0,0.0,Perennial,0.0,4000.0,0.0,estimated,500.0,14.285714285714285,14.285714285714285,Medium,44.75095944110208
papaya,Papaya,Fruits,0.0,2000.0,0.0,Perennial,0.0,2400.0,0.0,estimated,400.0,20.0,20.0,Medium,62.65134321754292
coffee,Coffee,Plantation Crops,0.0,42000.0,0.0,Perennial,0.0,48000.0,0.0,estimated,6000.0,14.285714285714285,14.285714285714285,Medium,44.75095944110208
