crop,price_2023,price_2024,price_change_pct,volatility,risk_score,risk_category,data_source
rice,2323.9,2381.22,2.4665433108137056,2.4665433108137056,7.726612576336206,Low,agmarknet
blackgram,7761.89,7504.97,-3.3100185650659837,3.3100185650659837,10.368855458819393,Low,agmarknet
cotton,6885.07,7178.04,4.255149185120852,4.255149185120852,13.32954060194273,Low,agmarknet
jute,5074.28,5290.69,4.264841514461162,4.264841514461162,13.359902474546589,Low,agmarknet
maize,2081.44,2171.08,4.306633868860014,4.306633868860014,13.490819831512171,Low,agmarknet
mungbean,7772.31,7405.15,-4.723949507932658,4.723949507932658,14.798089098191596,Low,agmarknet
lentil,5857.54,6147.02,4.942006371275322,4.942006371275322,15.481166867502703,Low,agmarknet
mothbeans,7000.0,7500.0,7.142857142857142,7.142857142857142,22.37547972055104,Low,estimated
kidneybeans,8500.0,9200.0,8.235294117647058,8.235294117647058,25.797611913105907,Low,estimated
apple,8000.0,9000.0,12.5,12.5,39.15708951096432,Medium,estimated
grapes,6000.0,6800.0,13.333333333333334,13.333333333333334,41.76756214502861,Medium,estimated
coffee,42000.0,48000.0,14.285714285714285,14.285714285714285,44.75095944110208,Medium,estimated
orange,3500.0,4000.0,14.285714285714285,14.285714285714285,44.75095944110208,Medium,estimated
chickpea,5380.16,6163.59,14.561462856123244,14.561462856123244,45.614760357424004,Medium,agmarknet
banana,2000.0,2300.0,15.0,15.0,46.98850741315719,Medium,estimated
mango,4500.0,5200.0,15.555555555555555,15.555555555555555,48.72882250253338,Medium,estimated
pomegranate,8000.0,9500.0,18.75,18.75,58.73563426644649,Medium,estimated
muskmelon,1500.0,1800.0,20.0,20.0,62.65134321754292,Medium,estimated
watermelon,1000.0,1200.0,20.0,20.0,62.65134321754292,Medium,estimated
papaya,2000.0,2400.0,20.0,20.0,62.65134321754292,Medium,estimated
pigeonpeas,9885.24,7561.08,-23.511417021741504,23.511417021741504,73.65109286799539,Medium,agmarknet
coconut,8212.62,10834.31,31.922699455228642,31.922699455228642,100.0,High,agmarknet
