Feature,Mean_SHAP,Rank
feature_count,0.015304592169493585,1
Feature_11,0.014350347106854426,2
Feature_23,0.013857681178327542,3
Feature_22,0.012389722325196785,4
engineered_features,0.011660343817192605,5
Feature_5,0.009363347632885443,6
raw_features,0.009134824176204643,7
Feature_12,0.008896505126259785,8
Feature_27,0.006972254872190442,9
Feature_25,0.006473371500335556,10
Feature_7,0.005671993167836067,11
Feature_26,0.004455113897601868,12
Feature_35,0.004304689116878267,13
Feature_24,0.0035570426351423747,14
Feature_29,0.0034381066661174197,15
Feature_10,0.0032810877062039736,16
Feature_18,0.003045182206552412,17
Feature_21,0.0029511246360122765,18
Feature_13,0.0024917418233097164,19
Feature_16,0.002302118082454179,20
Feature_15,0.0022853436809886444,21
Feature_9,0.002226948755802312,22
Feature_30,0.002054675513244703,23
Feature_17,0.0019645413631562626,24
description,0.0015412116429647587,25
Feature_28,0.00139433371107937,26
Feature_8,0.0012820003828109623,27
Feature_14,0.001264963047508919,28
Feature_6,0.0008297036020652351,29
Feature_31,0.0006470794489213961,30
Feature_20,0.0006149235294504651,31
Feature_19,0.0004673856522693661,32
Feature_34,0.00029682195266682255,33
Feature_39,0.00024605510069131175,34
Feature_33,0.00013220533234811337,35
Feature_32,0.00011738920493885099,36
Feature_38,5.5280210296829666e-05,37
Feature_37,3.3307722125950574e-05,38
Feature_36,1.0133702841403515e-05,39
